GUID,Description,Guild,Owner,Visibility,UploadedAsEpoch,UploadedAsDateTime,DurationAsEpoch,DurationAsTime
d1nGfw8XkV4vBMCY,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754396655,"August 5, 2025 2:24 PM",000011154738,3 hours
jfc46287ZTpNGvrA,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754393484,"August 5, 2025 1:31 PM",000007954561,2 hours
9hbLtQBnK3xdg4Ma,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1754381977,"August 5, 2025 10:19 AM",000011990798,3 hours
7LKgDPfNYrXC1jwq,ptr LAST DAY before patch,Personal Logs,Zorjeff,Public,1754364773,"August 5, 2025 5:32 AM",000034151776,9 hours
XqHPMNv8Bw2AzRkF,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754354072,"August 5, 2025 2:34 AM",000025402183,7 hours
CmMfz62cnahNvqLG,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754352995,"August 5, 2025 2:16 AM",000021546556,6 hours
DzCMrKXjkcZBn816,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754350561,"August 5, 2025 1:36 AM",000021027885,6 hours
NDKbxWCh6L1yFX23,Mythic+ Season 3,Personal Logs,Wordpudding,Public,1754325180,"August 4, 2025 6:33 PM",000004935126,an hour
qarMPC6xpAQVBgb7,17圆顶(cjq),Personal Logs,美团搜担担面,Public,1754324659,"August 4, 2025 6:24 PM",000012819769,4 hours
XGycfP9HqtTkRVg3,DKT 17圆顶16天街,Personal Logs,Windfire,Public,1754324643,"August 4, 2025 6:24 PM",000005097905,an hour
tPpqnVGcKaFY4zXr,Mythic+ Season 3,Personal Logs,dlkey,Public,1754319978,"August 4, 2025 5:06 PM",000008870332,2 hours
dGchmDzq6xQ4Zwkb,PTR,Personal Logs,Stentyg,Public,1754313232,"August 4, 2025 3:13 PM",000458339240,5 days
2g4yPYwRaVND6B7b,Mythic+ Season 3,Personal Logs,Leamonde,Public,1754310041,"August 4, 2025 2:20 PM",000001883582,31 minutes
RfG4QgC1Kpt8dTjr,ptr keys,Personal Logs,chantellope,Public,1754297225,"August 4, 2025 10:47 AM",000019202506,5 hours
VhLwxCapAkZzcQjf,Route Testing Night 3,Personal Logs,yoloswagginzbdf,Public,1754286063,"August 4, 2025 7:41 AM",000008610263,2 hours
NMW9hgkmxDydPwCb,Mythic+ Season 3,Personal Logs,Voidmend,Public,1754284179,"August 4, 2025 7:09 AM",000011740605,3 hours
hVrdNcwb8mzZgGTD,Route Testing Night 3,Personal Logs,yoloswagginzbdf,Public,1754283247,"August 4, 2025 6:54 AM",000005178747,an hour
pDLY4jmrhcgy7KqG,Mythic+ Season 3,Personal Logs,porlix,Public,1754280250,"August 4, 2025 6:04 AM",000007812109,2 hours
1tQabvkRZ4BzfWxd,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1754269326,"August 4, 2025 3:02 AM",000015259502,4 hours
RVmxGP26LchyMkX3,PTR streets,Personal Logs,Sathenus,Public,1754258356,"August 3, 2025 11:59 PM",000001856155,31 minutes
nxCyf1mga4p6JGZK,PTR LOGS POG?,Personal Logs,Bobdan,Public,1754256652,"August 3, 2025 11:30 PM",000007365637,2 hours
ALjxVZqC1Knfc3QJ,Mythic+ Season 3,Personal Logs,Gio_KW,Public,1754253068,"August 3, 2025 10:31 PM",000003541801,an hour
b4Z2T9dmQc8Ykjpg,Mythic+ Season 3,Personal Logs,Darragh,Public,1754250996,"August 3, 2025 9:56 PM",000010365550,3 hours
rCFt2AvwxW9mMV7B,Mythic+ Season 3,Personal Logs,jajimentol,Public,1754249157,"August 3, 2025 9:25 PM",000005581509,2 hours
JrbYPqGZdtL9RHKX,Mythic+ Season 3,Personal Logs,Jacqueas73,Public,1754241830,"August 3, 2025 7:23 PM",000011333288,3 hours
