GUID,Description,Guild,Owner,Visibility,UploadedAsEpoch,UploadedAsDateTime,DurationAsEpoch,DurationAsTime
d1nGfw8XkV4vBMCY,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754396655,"August 5, 2025 2:24 PM",000011154738,3 hours
gYTHPnb3RZthBVrw,16 dawnyb with shin and flames,Personal Logs,Nice,Public,1754376210,"August 5, 2025 8:43 AM",000015233337,4 hours
7LKgDPfNYrXC1jwq,ptr LAST DAY before patch,Personal Logs,Zorjeff,Public,1754364773,"August 5, 2025 5:32 AM",000034151776,9 hours
fbBHhpwMzWtgYX9V,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1754358656,"August 5, 2025 3:50 AM",000002428069,40 minutes
XqHPMNv8Bw2AzRkF,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754354072,"August 5, 2025 2:34 AM",000025402183,7 hours
CmMfz62cnahNvqLG,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754352995,"August 5, 2025 2:16 AM",000021546556,6 hours
DzCMrKXjkcZBn816,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754350561,"August 5, 2025 1:36 AM",000021027885,6 hours
GFjtkhNp61a3gqvd,14 gambit aug,Personal Logs,Nice,Public,1754344402,"August 4, 2025 11:53 PM",000003190817,an hour
Pft9kVcwp48ra7yK,keys,Personal Logs,karlosdeklerk,Public,1754341563,"August 4, 2025 11:06 PM",000010799482,3 hours
283HFx9qv6YznkKw,ptr keys,Personal Logs,Toonwire,Public,1754338893,"August 4, 2025 10:21 PM",000004858368,an hour
tPpqnVGcKaFY4zXr,Mythic+ Season 3,Personal Logs,dlkey,Public,1754319978,"August 4, 2025 5:06 PM",000008870332,2 hours
nbpcvLM31aVtmXDH,Mythic+ Season 3,Personal Logs,Sirnoob18,Public,1754314337,"August 4, 2025 3:32 PM",000002075877,35 minutes
dGchmDzq6xQ4Zwkb,PTR,Personal Logs,Stentyg,Public,1754313232,"August 4, 2025 3:13 PM",000458339240,5 days
ZNA6bg7q3D8BmXf2,Mythic+ Season 3,Personal Logs,Kaanymon,Public,1754280685,"August 4, 2025 6:11 AM",000009164571,3 hours
mcPhar3fVM6tKJbg,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754273496,"August 4, 2025 4:11 AM",000005229014,an hour
1tQabvkRZ4BzfWxd,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1754269326,"August 4, 2025 3:02 AM",000015259502,4 hours
dPvjVZrJTwf9GRYp,Mythic+ Season 3,Personal Logs,EV0luti0nz,Public,1754264641,"August 4, 2025 1:44 AM",000004528874,an hour
ALjxVZqC1Knfc3QJ,Mythic+ Season 3,Personal Logs,Gio_KW,Public,1754253068,"August 3, 2025 10:31 PM",000003541801,an hour
