log_guid,fight_id,outcome,duration,duration_in_sec,wcl_boss_id,boss_text,zone_name,boss_level,affix_icon,fight_time
y4wWbB83LmA7TpGt,,wipe,52:27,3147,12662,Hallowfall,Hallowfall,10,Xal'atath's Bargain: Oblivion,1:23 PM
nc6PFX3arQZf4yvA,26,kill,25:44,1544,12662,Hallowfall,Hallowfall,,,2:18 AM
nc6PFX3arQZf4yvA,24,wipe,6:11,371,12662,Hallowfall,Hallowfall,,,2:04 AM
nc6PFX3arQZf4yvA,25,wipe,7:41,461,12662,Hallowfall,Hallowfall,,,2:11 AM
nc6PFX3arQZf4yvA,24,wipe,6:11,371,12662,Hallowfall,Hallowfall,,,2:04 AM
nc6PFX3arQZf4yvA,25,wipe,7:41,461,12662,Hallowfall,Hallowfall,,,2:11 AM
3QPh9b7vcZJ6zkYj,,kill,35:06,2106,12662,Hallowfall,Hallowfall,10,Xal'atath's Bargain: Oblivion,4:42 PM
7LYkXfbhdCRwB94m,,kill,35:06,2106,12662,Hallowfall,Hallowfall,10,Xal'atath's Bargain: Oblivion,4:42 PM
6JGRLMT8qpvQ4PVn,,wipe,41:37,2497,12662,Hallowfall,Hallowfall,10,Xal'atath's Bargain: Oblivion,1:27 PM
mqp8QJdrGCFgRx1W,,wipe,0:00,0,12662,Hallowfall,Hallowfall,10,Xal'atath's Bargain: Oblivion,12:25 AM
Vd2wgWQKA8zDaYM1,,wipe,55:52,3352,12662,Hallowfall,Hallowfall,3,Xal'atath's Bargain: Ascendant,2:25 AM
2AwHrRXJWy9j3BP6,,wipe,30:12,1812,12662,Hallowfall,Hallowfall,3,Xal'atath's Bargain: Voidbound,11:52 PM
qYDxmXdg6MCVF9wQ,,wipe,23:45,1425,12662,Hallowfall,Hallowfall,5,Xal'atath's Bargain: Voidbound,4:52 PM
yjhxkPMFZgL2CKV7,,wipe,56:11,3371,12662,Hallowfall,Hallowfall,10,Xal'atath's Bargain: Ascendant,5:21 PM
AP6n8GYfRBTHgrhq,,wipe,36:14,2174,12662,Hallowfall,Hallowfall,3,Xal'atath's Bargain: Ascendant,8:17 PM
DF1qbKdHXGBP8rWN,,wipe,56:55,3415,12662,Hallowfall,Hallowfall,5,Xal'atath's Bargain: Voidbound,4:06 PM
GTJwZmyKVpnqBthx,,wipe,3:27,207,12662,Hallowfall,Hallowfall,10,Xal'atath's Bargain: Voidbound,1:51 AM
Kk1QTx96nzvZXGLV,16,kill,23:49,1429,12662,Hallowfall,Hallowfall,,,7:41 PM
Kk1QTx96nzvZXGLV,1,wipe,11:18,678,12662,Hallowfall,Hallowfall,,,8:33 AM
Kk1QTx96nzvZXGLV,2,wipe,23:44,1424,12662,Hallowfall,Hallowfall,,,8:45 AM
