GUID,Description,Guild,Owner,Visibility,UploadedAsEpoch,UploadedAsDateTime,DurationAsEpoch,DurationAsTime
d1nGfw8XkV4vBMCY,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754396655,"August 5, 2025 2:24 PM",000011154738,3 hours
PhMdZx2mGaVkB64H,ptr keys,Personal Logs,chantellope,Public,1754389642,"August 5, 2025 12:27 PM",000036597751,10 hours
zydLC2jrWxXTKaG9,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754387510,"August 5, 2025 11:51 AM",000001997101,33 minutes
mrYWQ6kCLwGBxjtz,酒仙能活出来吗第二季,OriginalFire,yueyue2252gu,Public,1754383914,"August 5, 2025 10:51 AM",000009314180,3 hours
gYTHPnb3RZthBVrw,16 dawnyb with shin and flames,Personal Logs,Nice,Public,1754376210,"August 5, 2025 8:43 AM",000015233337,4 hours
7LKgDPfNYrXC1jwq,ptr LAST DAY before patch,Personal Logs,Zorjeff,Public,1754364773,"August 5, 2025 5:32 AM",000034151776,9 hours
XqHPMNv8Bw2AzRkF,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754354072,"August 5, 2025 2:34 AM",000025402183,7 hours
CmMfz62cnahNvqLG,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754352995,"August 5, 2025 2:16 AM",000021546556,6 hours
DzCMrKXjkcZBn816,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754350561,"August 5, 2025 1:36 AM",000021027885,6 hours
kC8Ld6jDmpGgc3zQ,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754345497,"August 5, 2025 12:11 AM",000016045146,4 hours
WbtjYc9XhRyaxd3T,FIX INVISIBLE WALLS IN HOA PLEASE!,Personal Logs,healsforcash,Public,1754339393,"August 4, 2025 10:29 PM",000004409612,an hour
GTfLc9mhaZzApdrg,Mythic+ Season 3,Personal Logs,Gio_KW,Public,1754338055,"August 4, 2025 10:07 PM",000012050154,3 hours
qarMPC6xpAQVBgb7,17圆顶(cjq),Personal Logs,美团搜担担面,Public,1754324659,"August 4, 2025 6:24 PM",000012819769,4 hours
DRAZkmHb4YFpW6PJ,DKT 17圆顶17隐修院,Personal Logs,Windfire,Public,1754319095,"August 4, 2025 4:51 PM",000009778892,3 hours
zyQZM3afxgYFj9vc,Mythic+ Season 3,Personal Logs,JayZonday,Public,1754316200,"August 4, 2025 4:03 PM",000004112611,an hour
dGchmDzq6xQ4Zwkb,PTR,Personal Logs,Stentyg,Public,1754313232,"August 4, 2025 3:13 PM",000458339240,5 days
mcPhar3fVM6tKJbg,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754273496,"August 4, 2025 4:11 AM",000005229014,an hour
ACTDJPhK8F4a9BdL,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754271647,"August 4, 2025 3:40 AM",000003377388,an hour
1tQabvkRZ4BzfWxd,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1754269326,"August 4, 2025 3:02 AM",000015259502,4 hours
2j8hLdZyNaD6GvVm,Mythic+ Season 3,Personal Logs,Xeoo,Public,1754260436,"August 4, 2025 12:33 AM",000010179237,3 hours
b4Z2T9dmQc8Ykjpg,Mythic+ Season 3,Personal Logs,Darragh,Public,1754250996,"August 3, 2025 9:56 PM",000010365550,3 hours
ByCGrdDnYKmjVwcR,Mythic+ Season 3,Personal Logs,Yegu,Public,1754249650,"August 3, 2025 9:34 PM",000024717262,7 hours
GAHCFjDfYnhtX1Nk,Mythic+ Season 3,Personal Logs,Sirnoob18,Public,1754244850,"August 3, 2025 8:14 PM",000001877146,31 minutes
JrbYPqGZdtL9RHKX,Mythic+ Season 3,Personal Logs,Jacqueas73,Public,1754241830,"August 3, 2025 7:23 PM",000011333288,3 hours
NV9Gbkj213DxYdzT,Mythic+ Season 3,Personal Logs,Yegu,Public,1754234034,"August 3, 2025 5:13 PM",000009073303,3 hours
M7vyBC6nV8PpxQ2m,DKT 13隐修院（萨莱茵割草）,Personal Logs,Windfire,Public,1754221826,"August 3, 2025 1:50 PM",000001868026,31 minutes
hNK9LDvb3FC2ZA1x,Mythic+ Season 3,Personal Logs,jajimentol,Public,1754221354,"August 3, 2025 1:42 PM",000017140867,5 hours
VHvBTzaqC2fdXbtQ,Mythic+ Season 3,Personal Logs,EV0luti0nz,Public,1754215450,"August 3, 2025 12:04 PM",000007227025,2 hours
2nYCL7dGRKm69WzJ,Mythic+ Season 3,Personal Logs,Borrunir,Public,1754207522,"August 3, 2025 9:52 AM",000007150989,2 hours
F8fK21T7WJjnvV9N,Mythic+ Season 3,Personal Logs,Voidmend,Public,1754205095,"August 3, 2025 9:11 AM",000008239983,2 hours
BPYNDHk7xTfZ1z42,Keys,Personal Logs,Jellyph,Public,1754181782,"August 3, 2025 2:43 AM",000003707679,an hour
avZB81ApzWQY9RnX,Mythic+ Season 3,Personal Logs,PatrickMo,Public,1754181103,"August 3, 2025 2:31 AM",000005343068,an hour
zxTwjMk3VXtq6v2f,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754179890,"August 3, 2025 2:11 AM",000008409963,2 hours
azLfh7Rc6nD4vyHC,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754173371,"August 3, 2025 12:22 AM",000001980065,33 minutes
p8mWCJr73DTdynNH,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754160510,"August 2, 2025 8:48 PM",000033343083,9 hours
1HZ7ByqvM6xprNbF,Mythic+ Season 3,Personal Logs,Jacqueas73,Public,1754155647,"August 2, 2025 7:27 PM",000021375285,6 hours
PNn8myRYkaTxb4BC,Mythic+ Season 3,Personal Logs,Stαbbyfaceδ,Public,1754155332,"August 2, 2025 7:22 PM",000000387009,6 minutes
dVpJg7GzaCyckDNx,Mythic+ Season 3,Personal Logs,lgp0509csu,Public,1754152901,"August 2, 2025 6:41 PM",000007195342,2 hours
pJjxd4zyCnQYPFgV,Mythic+ Season 3,Personal Logs,BudoBoy07,Public,1754144728,"August 2, 2025 4:25 PM",000017464687,5 hours
xHz4a8mnB2pLcAfP,m+ ptr friday 01/08,Personal Logs,TomElvis,Public,1754134724,"August 2, 2025 1:38 PM",000017832738,5 hours
4PMrB3pNqvbKZj7Q,16 priory xd take 2,Personal Logs,Nice,Public,1754123459,"August 2, 2025 10:30 AM",000004123546,an hour
