SpellID,SpellName,SpellCasts,SpellFound,SpellFoundPercent,KillingBlowCount,AssistingBlowCount,KillingBlowPercent,AssistingBlowPercent,NPCName
434786,Web Bolt,4071,30,100.0,9,31,3.515625,4.747320061255743,
433821,Dashing Strike,1383,30,100.0,20,57,7.8125,8.728943338437979,
433002,Extraction Strike,824,30,100.0,14,33,5.46875,5.053598774885145,
431985,Black Blood,2512,30,100.0,0,0,0.0,0.0,
455406,Black Blood,1353,28,93.33333333333333,0,0,0.0,0.0,
455408,Black Blood,1375,28,93.33333333333333,0,0,0.0,0.0,
438599,Bleeding Jab,819,30,100.0,0,12,0.0,1.8376722817764166,
434083,Ambush,684,29,96.66666666666667,2,4,0.78125,0.6125574272588056,
453583,Charge,631,30,100.0,0,0,0.0,0.0,
438618,Venomous Spit,623,29,96.66666666666667,6,21,2.34375,3.215926493108729,
438622,Toxic Rupture,521,29,96.66666666666667,0,0,0.0,0.0,
434830,Vile Webbing,1020,30,100.0,3,8,1.171875,1.2251148545176112,NPC Name Not Found
435012,Impale,345,30,100.0,0,0,0.0,0.0,
433740,Infestation,372,30,100.0,15,38,5.859375,5.819295558958652,
434252,Massive Slam,428,30,100.0,21,56,8.203125,8.575803981623277,
432130,Erupting Webs,420,30,100.0,0,0,0.0,0.0,
453161,Impale,343,30,100.0,0,0,0.0,0.0,
434793,Resonant Barrage,160,24,80.0,0,0,0.0,0.0,
434824,Web Spray,351,30,100.0,2,6,0.78125,0.9188361408882083,
438471,Voracious Bite,222,30,100.0,0,0,0.0,0.0,
432227,Venom Volley,302,30,100.0,37,95,14.453125,14.548238897396631,
436322,Poison Bolt,97,29,96.66666666666667,0,0,0.0,0.0,
448248,Revolting Volley,81,26,86.66666666666667,1,11,0.390625,1.6845329249617151,
433845,Erupting Webs,185,30,100.0,0,0,0.0,0.0,
435193,Impale,121,28,93.33333333333333,0,0,0.0,0.0,
438473,Gossamer Onslaught,85,30,100.0,0,0,0.0,0.0,
439506,Burrow Charge,64,30,100.0,0,0,0.0,0.0,
432117,Cosmic Singularity,168,30,100.0,78,159,30.46875,24.349157733537517,
438476,Alerting Shrill,112,30,100.0,0,0,0.0,0.0,
433841,Venom Volley,26,17,56.666666666666664,7,22,2.734375,3.3690658499234303,
434408,Eye of the Swarm,50,30,100.0,0,0,0.0,0.0,
433766,Eye of the Swarm,50,30,100.0,0,0,0.0,0.0,
432868,Bulwark of the Weak,11,10,33.33333333333333,0,0,0.0,0.0,
438826,Poisonous Cloud,39,29,96.66666666666667,0,0,0.0,0.0,
438877,Call of the Brood,36,29,96.66666666666667,0,0,0.0,0.0,
432967,Alarm Shrill,11,10,33.33333333333333,0,0,0.0,0.0,
438827,Poisonous Cloud,40,29,96.66666666666667,0,0,0.0,0.0,
435151,Eye of the Swarm,52,30,100.0,0,0,0.0,0.0,
433785,Grasping Slash,265,20,66.66666666666666,6,12,2.34375,1.8376722817764166,
145629,Anti-Magic Zone,89,11,36.666666666666664,0,0,0.0,0.0,NPC Name Not Found
461487,Cultivated Poisons,179,14,46.666666666666664,33,84,12.890625,12.863705972434916,NPC Name Not Found
433731,Burrow Charge,33,14,46.666666666666664,2,4,0.78125,0.6125574272588056,
461870,Xal'atath's Bargain,12,12,40.0,0,0,0.0,0.0,NPC Name Not Found
438675,Toxic Rupture,11,11,36.666666666666664,0,0,0.0,0.0,
462508,Dark Prayer,43,2,6.666666666666667,0,0,0.0,0.0,NPC Name Not Found
462828,Xal'atath's Bargain: Voidbound,43,2,6.666666666666667,0,0,0.0,0.0,NPC Name Not Found
461895,Unstable Power,940,2,6.666666666666667,0,0,0.0,0.0,NPC Name Not Found
461904,Cosmic Ascension,112,2,6.666666666666667,0,0,0.0,0.0,NPC Name Not Found
439070,Hunger,15,8,26.666666666666668,0,0,0.0,0.0,
434802,Horrifying Shrill,6,5,16.666666666666664,0,0,0.0,0.0,
224729,Bursting Shot,8,1,3.3333333333333335,0,0,0.0,0.0,NPC Name Not Found
