spell_id,page_source,page_source_is_valid,spell_name,icon_id,cast_time,cast_value_is_channeled,cast_value_is_instant,npc_id,npc_name,zone_id,zone_page_source,zone_page_source_is_valid,zone_name,zone_name_was_found
115203,,True,Fortifying Brew,615341,Instant,False,True,63195,Blackguard Brewmaster,-1,,False,Zone Name Not Found,False
451605,,True,Holy Flame,135973,3 seconds,False,False,207940,Prioress Murrpray,14954,,True,Zone Name Not Found,False
1242993,,True,Shadow Expulsion,895887,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
434793,,True,Resonant Barrage,136128,Channeled,True,False,216293,"Trilling Attendant"",""Discordant Attendant",-1,,False,Zone Name Not Found,False
1236615,,True,Display of Power,3528307,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
356967,,True,Hyperlight Backhand,4037122,3 seconds,False,False,180348,Cartel Muscle,13577,,True,Zone Name Not Found,False
427357,,True,Holy Smite,135924,2.5 seconds,False,False,206697,Devout Priest,14954,,True,Zone Name Not Found,False
461796,,True,Reload,511727,7 seconds,False,False,229212,Darkfuse Demolitionist,15452,,True,Zone Name Not Found,False
462508,,True,Dark Prayer,136198,1.5 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
431365,,True,Tormenting Ray,1386548,Instant,False,True,214761,Nightfall Ritualist,14971,,True,Zone Name Not Found,False
1231252,,True,Unstable Core,135734,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
355057,,True,Cry of Mrrggllrrgg,1058933,3 seconds,False,False,178139,Murkbrine Shellcrusher,13577,,True,Zone Name Not Found,False
357029,,True,Hyperlight Bomb,4037123,1.5 seconds,False,False,180335,Cartel Smuggler,13577,,True,Zone Name Not Found,False
434830,,True,Vile Webbing,136113,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
356324,,True,Empowered Glyph of Restraint,4037120,1 second,False,False,179334,"Portalmancer Zo'honn"",""Portalmancer Zo'dahh"",""Portalmancer Zo'nyy",13577,,True,Zone Name Not Found,False
431364,,True,Tormenting Ray,1386548,2.5 seconds,False,False,214761,Nightfall Ritualist,-1,,False,Zone Name Not Found,False
1223000,,True,Embrace of K'aresh,237580,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
435156,,True,Light Expulsion,135921,Instant,False,True,212835,Risen Footman,14954,,True,Zone Name Not Found,False
463061,,True,Bloodthirsty Cackle,132117,Instant,False,True,229252,Darkfuse Hyena,15452,,True,Zone Name Not Found,False
356404,,True,Lava Breath,135831,3 seconds,False,False,180091,Ancient Core Hound,13577,,True,Zone Name Not Found,False
5394,,True,Healing Stream Totem,135127,Instant,False,True,3527,Healing Stream Totem,6720,,True,Zone Name Not Found,False
465408,,True,Rapid Construction,135436,2.5 seconds,False,False,231176,Scaffolding,15452,,True,Zone Name Not Found,False
432031,,True,Grasping Blood,3459799,Channeled,True,False,215968,Black Blood,15093,,True,Zone Name Not Found,False
1235368,,True,Arcane Slash,135739,3 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
1235245,,True,Ankle Bite,458967,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
448485,,True,Shield Slam,132357,1.5 seconds,False,False,212826,Guard Captain Suleyman,14954,,True,Zone Name Not Found,False
326997,,True,Powerful Swipe,1396978,1.5 seconds,False,False,167607,Stoneborn Slasher,12831,,True,Zone Name Not Found,False
460814,,True,Deflagration,459026,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
469981,,True,Kill-o-Block Barrier,136051,1.5 seconds,False,False,226398,Big M.O.M.M.A.,15452,,True,Zone Name Not Found,False
473836,,True,Electrocrush,252174,Instant,False,True,226398,Big M.O.M.M.A.,15452,,True,Zone Name Not Found,False
434083,,True,Ambush,1817485,Instant,False,True,216336,"Ravenous Crawler"",""Starved Crawler",14979,,True,Zone Name Not Found,False
451101,,True,Shadowy Decay,633004,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
1229474,,True,Gorge,4914668,3.5 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
355637,,True,Quelling Strike,132307,500 milliseconds,False,False,179840,Market Peacekeeper,13577,,True,Zone Name Not Found,False
1227152,,True,Warp Strike,135736,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
355934,,True,Hard Light Barrier,134122,4 seconds,False,False,177817,Support Officer,13577,,True,Zone Name Not Found,False
366155,,True,Reversion,4630467,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
1237215,,True,Path of the Eco-Dome,6921877,10 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
1215850,,True,Earthcrusher,136025,1 second,False,False,167538,Dokigg the Brutalizer,12841,,True,Zone Name Not Found,False
322936,,True,Crumbling Slam,134459,1 second,False,False,165408,Halkias,12831,,True,Zone Name Not Found,False
453461,,True,Caltrops,461122,Instant,False,True,206694,Fervent Sharpshooter,14954,,True,Zone Name Not Found,False
1220511,,True,Arcane Overload,429383,3 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
1217456,,True,Jettison Kelp,960692,Instant,False,True,231223,Disturbed Kelp,15452,,True,Zone Name Not Found,False
472452,,True,Doom Storm,1035038,2.5 seconds,False,False,228424,Darkfuse Mechadrone,15452,,True,Zone Name Not Found,False
275699,,True,Apocalypse,1392565,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
431349,,True,Tormenting Eruption,132851,2.5 seconds,False,False,213885,Nightfall Dark Architect,-1,,False,Zone Name Not Found,False
1235326,,True,Disrupting Screech,132182,3 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
228260,,True,Void Eruption,1386548,1.5 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
181113,,True,Encounter Spawn,-1,Instant,False,True,78623,Cho'gall,6996,,True,Zone Name Not Found,False
6201,,True,Create Healthstone,538745,3 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
546,,True,Water Walking,135863,Instant,False,True,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
451107,,True,Bursting Cocoon,5764932,2 seconds,False,False,210966,Sureki Webmage,-1,,False,Zone Name Not Found,False
1217232,,True,Devour,252996,5 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
1240102,,True,Time Bombs,5199633,2 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
444728,,True,Templar's Wrath,135875,Instant,False,True,207949,Zealous Templar,14954,,True,Zone Name Not Found,False
465813,,True,Lethargic Venom,132108,2 seconds,False,False,-1,Undercrawler,15452,,True,Zone Name Not Found,False
1235762,,True,Turn to Stone,458241,3.5 seconds,False,False,-1,NPC Name Not Found,-1,,False,Zone Name Not Found,False
349797,,True,Grand Consumption,3528279,1.5 seconds,False,False,176556,Alcruux,13577,,True,Zone Name Not Found,False
346962,,True,Money Order,370211,Instant,False,True,175646,P.O.S.T. Master,13577,,True,Zone Name Not Found,False
347903,,True,Junk Mail,237246,1.5 seconds,False,False,176395,Overloaded Mailemental,13577,,True,Zone Name Not Found,False
346947,,True,Unstable Goods,451164,2 seconds,False,False,175646,P.O.S.T. Master,13577,,True,Zone Name Not Found,False
465463,,True,Turbo Charge,4548867,4 seconds,False,False,226404,Geezle Gigazap,15452,,True,Zone Name Not Found,False
427001,,True,Terrifying Slam,1508516,3 seconds,False,False,211089,Anub'ikkaj,14971,,True,Zone Name Not Found,False
