log_guid,fight_id,outcome,duration,duration_in_sec,wcl_boss_id,boss_text,zone_name,boss_level,affix_icon,fight_time
krHWBwbZy21Jd9YL,,kill,40:24,2424,61822,Siege of Boralus,Siege of Boralus,10,Xal'atath's Bargain: Voidbound,10:53 AM
3QPh9b7vcZJ6zkYj,,wipe,49:08,2948,61822,Siege of Boralus,Siege of Boralus,10,Xal'atath's Bargain: Voidbound,9:31 PM
7LYkXfbhdCRwB94m,,wipe,49:08,2948,61822,Siege of Boralus,Siege of Boralus,10,Xal'atath's Bargain: Voidbound,9:31 PM
phLYGCnDrR9kb8XP,21,wipe,10:26,626,61822,Siege of Boralus,Siege of Boralus,,,12:10 PM
phLYGCnDrR9kb8XP,22,wipe,9:56,596,61822,Siege of Boralus,Siege of Boralus,,,12:20 PM
phLYGCnDrR9kb8XP,21,wipe,10:26,626,61822,Siege of Boralus,Siege of Boralus,,,12:10 PM
phLYGCnDrR9kb8XP,22,wipe,9:56,596,61822,Siege of Boralus,Siege of Boralus,,,12:20 PM
7KwkD8dQmjARvb1M,5,kill,47:09,2829,61822,Siege of Boralus,Siege of Boralus,,,6:06 AM
7KwkD8dQmjARvb1M,10,kill,1:22:30,4950,61822,Siege of Boralus,Siege of Boralus,,,4:25 AM
dkJf2jHvXRyg1BAp,,kill,27:31,1651,61822,Siege of Boralus,Siege of Boralus,10,Xal'atath's Bargain: Voidbound,12:23 AM
rg3wtByNnvGRPC2L,,kill,37:36,2256,61822,Siege of Boralus,Siege of Boralus,5,Xal'atath's Bargain: Voidbound,5:24 PM
yjtmN1D7zM4CVFbw,,kill,46:34,2794,61822,Siege of Boralus,Siege of Boralus,10,Xal'atath's Bargain: Ascendant,5:41 PM
pArDBP8Zy4kw7Lmj,,kill,46:34,2794,61822,Siege of Boralus,Siege of Boralus,10,Xal'atath's Bargain: Ascendant,5:42 PM
BbnLz8qKPM9ZWdTg,,kill,36:24,2184,61822,Siege of Boralus,Siege of Boralus,5,Xal'atath's Bargain: Voidbound,1:58 AM
dgLKkRHANB32Yvpj,,kill,30:51,1851,61822,Siege of Boralus,Siege of Boralus,2,Fortified,11:29 PM
cQ3YFwNyLVAqbHMv,3,kill,43:23,2603,61822,Siege of Boralus,Siege of Boralus,,,6:04 AM
cQ3YFwNyLVAqbHMv,9,kill,23:38,1418,61822,Siege of Boralus,Siege of Boralus,,,1:46 AM
tyRBPLZY1cDhvdmF,,wipe,37:35,2255,61822,Siege of Boralus,Siege of Boralus,3,Xal'atath's Bargain: Voidbound,9:54 AM
wzyJ7BFWmQRxdH3G,23,kill,53:39,3219,61822,Siege of Boralus,Siege of Boralus,,,1:53 AM
wzyJ7BFWmQRxdH3G,22,wipe,4:07,247,61822,Siege of Boralus,Siege of Boralus,,,1:49 AM
1LGJ4jBVDRN8ta97,27,kill,34:02,2042,61822,Siege of Boralus,Siege of Boralus,,,12:07 AM
1LGJ4jBVDRN8ta97,1,wipe,14:52,892,61822,Siege of Boralus,Siege of Boralus,,,7:05 PM
HyJwf8t7NF3DkPQd,,wipe,28:40,1720,61822,Siege of Boralus,Siege of Boralus,10,Xal'atath's Bargain: Frenzied,10:42 PM
CY2zRZFrNgpjq7at,,kill,19:15,1155,61822,Siege of Boralus,Siege of Boralus,10,Xal'atath's Bargain: Frenzied,6:16 PM
pNM81VhX7bY2t4yC,18,kill,26:55,1615,61822,Siege of Boralus,Siege of Boralus,,,11:53 PM
pNM81VhX7bY2t4yC,17,wipe,6:51,411,61822,Siege of Boralus,Siege of Boralus,,,11:47 PM
9jYGbwXga1JDKcyr,5,kill,26:34,1594,61822,Siege of Boralus,Siege of Boralus,,,11:06 AM
9jYGbwXga1JDKcyr,4,wipe,0:00,0,61822,Siege of Boralus,Siege of Boralus,,,11:05 AM
9jYGbwXga1JDKcyr,7,wipe,0:00,0,61822,Siege of Boralus,Siege of Boralus,,,11:45 AM
9jYGbwXga1JDKcyr,8,wipe,1:03,63,61822,Siege of Boralus,Siege of Boralus,,,11:48 AM
9jYGbwXga1JDKcyr,9,wipe,12:04,724,61822,Siege of Boralus,Siege of Boralus,,,11:49 AM
9jYGbwXga1JDKcyr,4,wipe,0:00,0,61822,Siege of Boralus,Siege of Boralus,,,11:05 AM
