log_guid,fight_id,outcome,duration,duration_in_sec,wcl_boss_id,boss_text,boss_level,affix_icon,fight_time
9aCktvPc4MD8xG2h,,kill,29:25,1765,12830,Eco-Dome Al'dani,19,Fortified,8:31 PM
dGchmDzq6xQ4Zwkb,4,kill,30:48,1848,12830,Eco-Dome Al'dani,,,10:32 PM
dGchmDzq6xQ4Zwkb,23,kill,24:03,1443,12830,Eco-Dome Al'dani,,,7:44 PM
dGchmDzq6xQ4Zwkb,53,kill,25:46,1546,12830,Eco-Dome Al'dani,,,5:41 PM
dGchmDzq6xQ4Zwkb,1,wipe,6:27,387,12830,Eco-Dome Al'dani,,,3:55 PM
RfG4QgC1Kpt8dTjr,9,kill,32:16,1936,12830,Eco-Dome Al'dani,,,7:34 AM
RfG4QgC1Kpt8dTjr,8,wipe,14:43,883,12830,Eco-Dome Al'dani,,,7:19 AM
F3k2Pz4xg8rNCmfJ,,kill,26:52,1612,12830,Eco-Dome Al'dani,18,Fortified,3:36 PM
WJb9cvnCt24G6gph,10,wipe,2:59,179,12830,Eco-Dome Al'dani,,,6:58 AM
WJb9cvnCt24G6gph,11,wipe,11:22,682,12830,Eco-Dome Al'dani,,,7:01 AM
WJb9cvnCt24G6gph,12,wipe,16:44,1004,12830,Eco-Dome Al'dani,,,7:12 AM
WJb9cvnCt24G6gph,10,wipe,2:59,179,12830,Eco-Dome Al'dani,,,6:58 AM
WJb9cvnCt24G6gph,11,wipe,11:22,682,12830,Eco-Dome Al'dani,,,7:01 AM
WJb9cvnCt24G6gph,12,wipe,16:44,1004,12830,Eco-Dome Al'dani,,,7:12 AM
CvF1N8yfYPWRMkjd,,kill,29:20,1760,12830,Eco-Dome Al'dani,19,Fortified,2:06 AM
vYk4GVcbLWHXx8qC,14,kill,22:59,1379,12830,Eco-Dome Al'dani,,,4:28 AM
vYk4GVcbLWHXx8qC,13,wipe,14:30,870,12830,Eco-Dome Al'dani,,,4:05 AM
pKjLZrf4JN6TQdX7,,kill,23:22,1402,12830,Eco-Dome Al'dani,10,Xal'atath's Bargain: Pulsar,3:49 AM
AzVk6Z7FK2vgQntD,,kill,30:43,1843,12830,Eco-Dome Al'dani,15,Tyrannical,3:51 PM
JjpQbKzwPakq3LAX,,kill,25:12,1512,12830,Eco-Dome Al'dani,12,Fortified,10:13 PM
p8mWCJr73DTdynNH,3,kill,30:53,1853,12830,Eco-Dome Al'dani,,,8:46 PM
p8mWCJr73DTdynNH,2,wipe,10:22,622,12830,Eco-Dome Al'dani,,,8:36 PM
xHz4a8mnB2pLcAfP,19,kill,32:52,1972,12830,Eco-Dome Al'dani,,,7:58 PM
xHz4a8mnB2pLcAfP,16,wipe,10:23,623,12830,Eco-Dome Al'dani,,,7:32 PM
xHz4a8mnB2pLcAfP,17,wipe,2:48,168,12830,Eco-Dome Al'dani,,,7:43 PM
xHz4a8mnB2pLcAfP,18,wipe,9:13,553,12830,Eco-Dome Al'dani,,,7:45 PM
xHz4a8mnB2pLcAfP,16,wipe,10:23,623,12830,Eco-Dome Al'dani,,,7:32 PM
xHz4a8mnB2pLcAfP,17,wipe,2:48,168,12830,Eco-Dome Al'dani,,,7:43 PM
xHz4a8mnB2pLcAfP,18,wipe,9:13,553,12830,Eco-Dome Al'dani,,,7:45 PM
pwWbkZLT137PrYCt,,wipe,11:13,673,12830,Eco-Dome Al'dani,15,Tyrannical,8:26 PM
kxGYrAHPjX4Qb21v,,kill,22:42,1362,12830,Eco-Dome Al'dani,12,Tyrannical,4:01 AM
zXTRHxmPM1NbnAgd,,kill,22:42,1362,12830,Eco-Dome Al'dani,12,Tyrannical,4:01 AM
2wRmB64JybnXzp7K,16,kill,32:52,1972,12830,Eco-Dome Al'dani,,,7:58 PM
2wRmB64JybnXzp7K,25,kill,27:28,1648,12830,Eco-Dome Al'dani,,,12:48 AM
